Comment,Designator,Footprint,LCSC, LCSC
"10uf","C1","Capacitors_SMD:C_0805_HandSoldering","","C15850"
"0.1uf","C12","VS-TIPI-kicad:C_0805_HandSoldering","","C49678"
"22uf","C2","Capacitors_SMD:C_0805_HandSoldering","","C45783"
"0.1uf","C6,C10,C7,C8,C9,C5,C4,C3,C11","Capacitors_SMD:C_0805_HandSoldering","","C49678"
"CONN_02X04","CRUBASE1","Pin_Headers:Pin_Header_Straight_2x04_Pitch2.54mm",""
"LED","D1","LEDs:LED_D3.0mm",""
"USB_B_Micro","J2","VS-TIPI-kicad:AMPHENOL_10118194-0001LF","","C132563"
"Conn_01x02","J3","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal",""
"AVR-JTAG-10","JTAG1","Connect:IDC_Header_Straight_10pins",""
"TI-99_Sideport","P1,J1","peb-edge-card:ti99-exp-edge",""
"NPN_BCE","Q1","TO_SOT_Packages_SMD:SOT-23","","C31776"
"330","R2","Resistors_SMD:R_0805_HandSoldering","","C17630"
"1k","R3,R1","Resistors_SMD:R_0805_HandSoldering","","C17513"
"10k","R5,R6,R4","Resistors_SMD:R_0805_HandSoldering","","C17414"
"DNP","R7","VS-TIPI-kicad:C_0805_HandSoldering",""
"RPI_CONN_02X05","RPi1","Connect:IDC_Header_Straight_10pins",""
"XC95144XL-TQ100","U1","Housings_QFP:TQFP-100_14x14mm_Pitch0.5mm","","C45126"
"27C256","U2","Package_DIP:DIP-28_W15.24mm_Socket",""
"74HCT245","U3","SMD_Packages:SSOP-20","","C5980"
"LM1117-3.3","U4","TO_SOT_Packages_SMD:SOT-223","","C23984"
"AS6C62256-55PCN","U5","Package_DIP:DIP-28_W15.24mm_Socket",""